shape,abnormal,drop,hexangonal,kite,lozenge,octagonal,pointedoval,quatrofoil,rectangular,round,roundedoval,scutiform,square,trianglepointedup,undeterminedshape,size_area,animal,human,objects,device,undetermined,unassigned,beast,bird,fish,insect,bust,hand,boat,building,container,equipment,naturalproduct,irregular,radial,lattice,fulllength,symbol,hawkhunting,pelicaninpiety,headondish,twoheads,crossedhands,handholdingitem,seated,standing,riding,crucified,apparel,crenellation,tool,weapon,shell,wheatsheaf,stylizedlily,crosses,heart,merchantmark,texts,handholdingbird,halflength,crescent,beastbody,beasthead,doubleheadedeagle,horseshoe,twobirdsdrinking,animalequipment,transport,halflengthwomanholdingchild,halflengthwoman,halflengthman,swine,boarhead,centaur,dragon,hare,lion,lionhead,mermaid,squirrel,stag,staghead,unicorn,unicornhead,wolf,wolfhead,standingwoman,standingman,armouredmanequestrian,seatedwomanholdingchild,axe,shears,arrow,spear,sword,banner,shield,christogram,lionfighting,sheep,griffin,hammer,standingwomanholdingchild,hareonhound,lambandstaff,lionsleeping,standingliturgicalapparel,manfightinganimal,bowandarrow,spearandpennon,seatedman,date_origin,timegroup_c_range,pk_timegroup_c
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78.54,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1400,1400-1424,11
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.93,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1530,1525-1549,16
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.94,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1432,1425-1449,12
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.95,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1577,1575-1599,18
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1447,1425-1449,12
Abnormal shape,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.89,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1420,1400-1424,11
Drop-shaped,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,730.42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1199,1175-1199,2
Drop-shaped,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,487.73,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1235,1225-1249,4
Drop-shaped,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,904.78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1253,1250-1274,5
Drop-shaped,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,445.32,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1266,1250-1274,5
